name,ratio,kernel_size,window_range,true_positive,true_negative,false_positive,false_negative,positive,negative,predict_positive,predict_negative,coffecients1
Logistic,0.25,51,"(1, 15)",16,191,14,29,45,205,30,220,"{'LAP1': -0.060487908931665973, 'MIS3': -0.02013847148557701, 'WAV1': 0.0015693795865982915, 'GRA7': 0.07486695778868252, 'STA3': -0.26171710585841, 'DCT3': 0.17293385578279535}"
Decision,0.25,51,"(1, 15)",16,191,14,29,45,205,30,220,
Random,0.25,51,"(1, 15)",16,191,14,29,45,205,30,220,
Logistic,0.25,101,"(1, 15)",26,196,9,19,45,205,35,215,"{'LAP1': -0.06219593367910936, 'MIS3': -0.01204306099133493, 'WAV1': 0.007394959271286994, 'GRA7': 0.01486839636395234, 'STA3': 0.0077870456775416975, 'DCT3': -0.03598362610345928}"
Decision,0.25,101,"(1, 15)",26,196,9,19,45,205,35,215,
Random,0.25,101,"(1, 15)",26,196,9,19,45,205,35,215,
Logistic,0.25,201,"(1, 15)",25,196,9,20,45,205,34,216,"{'LAP1': -0.010517074384794394, 'MIS3': -0.002185724752349174, 'WAV1': 0.0055749193908574005, 'GRA7': 0.0026576596347887295, 'STA3': 0.0002154000166582938, 'DCT3': 0.008808363499407971}"
Decision,0.25,201,"(1, 15)",25,196,9,20,45,205,34,216,
Random,0.25,201,"(1, 15)",25,196,9,20,45,205,34,216,
Logistic,0.3,3,"(1, 15)",54,172,14,40,94,186,68,212,"{'LAP1': -3.6540579657443475, 'MIS3': -5.404691253658003, 'WAV1': 0.003162241162593164, 'GRA7': -3.5781591025945447, 'STA3': -0.0451118278866446, 'DCT3': 0.8800530126899024}"
Decision,0.3,3,"(1, 15)",54,172,14,40,94,186,68,212,
Random,0.3,3,"(1, 15)",54,172,14,40,94,186,68,212,
Logistic,0.3,5,"(1, 15)",60,177,9,34,94,186,69,211,"{'LAP1': -3.0775855829498253, 'MIS3': -3.3898438237305935, 'WAV1': 0.004279927502201274, 'GRA7': -2.685943829308251, 'STA3': -0.0810178091523096, 'DCT3': 1.8874839968179409}"
Decision,0.3,5,"(1, 15)",60,177,9,34,94,186,69,211,
Random,0.3,5,"(1, 15)",60,177,9,34,94,186,69,211,
Logistic,0.3,7,"(1, 15)",59,173,13,35,94,186,72,208,"{'LAP1': -2.259590279365739, 'MIS3': -1.7067962615273722, 'WAV1': 0.004428438406051451, 'GRA7': -0.4746194459764837, 'STA3': 0.0318561021257916, 'DCT3': 1.1556310570256725}"
Decision,0.3,7,"(1, 15)",59,173,13,35,94,186,72,208,
Random,0.3,7,"(1, 15)",59,173,13,35,94,186,72,208,
Logistic,0.3,11,"(1, 15)",60,175,11,34,94,186,71,209,"{'LAP1': -0.3095583168073954, 'MIS3': -0.8229773416078242, 'WAV1': 0.004397047286724235, 'GRA7': -0.2683000454365932, 'STA3': 0.42915650396802896, 'DCT3': 0.9164433349789431}"
Decision,0.3,11,"(1, 15)",60,175,11,34,94,186,71,209,
Random,0.3,11,"(1, 15)",60,175,11,34,94,186,71,209,
Logistic,0.3,51,"(1, 15)",55,172,14,39,94,186,69,211,"{'LAP1': -0.043263813056829206, 'MIS3': -0.02654981240419192, 'WAV1': 0.0018276679286929052, 'GRA7': 0.051619928992082585, 'STA3': -0.09964429152320482, 'DCT3': 0.1040965326062128}"
Decision,0.3,51,"(1, 15)",55,172,14,39,94,186,69,211,
Random,0.3,51,"(1, 15)",55,172,14,39,94,186,69,211,
Logistic,0.3,101,"(1, 15)",65,170,16,29,94,186,81,199,"{'LAP1': -0.05167330335900045, 'MIS3': -0.008864463289470959, 'WAV1': 0.006014221551920337, 'GRA7': 0.012020896884063067, 'STA3': 0.003772284414945623, 'DCT3': -0.01832641540181216}"
Decision,0.3,101,"(1, 15)",65,170,16,29,94,186,81,199,
Random,0.3,101,"(1, 15)",65,170,16,29,94,186,81,199,
Logistic,0.3,201,"(1, 15)",60,169,17,34,94,186,77,203,"{'LAP1': -0.00870232992710248, 'MIS3': -0.0015445737749897627, 'WAV1': 0.004473467564908289, 'GRA7': 0.0021380002209837414, 'STA3': 0.0002484347314350501, 'DCT3': -0.002419807018763171}"
Decision,0.3,201,"(1, 15)",60,169,17,34,94,186,77,203,
Random,0.3,201,"(1, 15)",60,169,17,34,94,186,77,203,
Logistic,0.35,3,"(1, 15)",75,166,16,45,120,182,91,211,"{'LAP1': -4.139949327652153, 'MIS3': -5.742620256484866, 'WAV1': 0.0033749559207586783, 'GRA7': -3.940044978645412, 'STA3': -0.05111049216239043, 'DCT3': 0.47806580110721136}"
Decision,0.35,3,"(1, 15)",75,166,16,45,120,182,91,211,
Random,0.35,3,"(1, 15)",75,166,16,45,120,182,91,211,
Logistic,0.35,5,"(1, 15)",78,165,17,42,120,182,95,207,"{'LAP1': -3.3212920286136645, 'MIS3': -3.558312454974177, 'WAV1': 0.004397479363729217, 'GRA7': -2.50820288856774, 'STA3': -0.08877259145828505, 'DCT3': 1.945363217146442}"
Decision,0.35,5,"(1, 15)",78,165,17,42,120,182,95,207,
Random,0.35,5,"(1, 15)",78,165,17,42,120,182,95,207,
Logistic,0.35,7,"(1, 15)",82,166,16,38,120,182,98,204,"{'LAP1': -6.465547587520071, 'MIS3': -1.996177200442605, 'WAV1': 0.005036500072165797, 'GRA7': 1.7892215695645137, 'STA3': 0.01081410113177453, 'DCT3': 1.3586773629726798}"
Decision,0.35,7,"(1, 15)",82,166,16,38,120,182,98,204,
Random,0.35,7,"(1, 15)",82,166,16,38,120,182,98,204,
Logistic,0.35,11,"(1, 15)",89,164,18,31,120,182,107,195,"{'LAP1': -1.9417278489179512, 'MIS3': -1.0146554582966192, 'WAV1': 0.005865488628194988, 'GRA7': 0.05563862102917215, 'STA3': 0.593047150146671, 'DCT3': 1.063487016599065}"
Decision,0.35,11,"(1, 15)",89,164,18,31,120,182,107,195,
